Country of Origin,Altitude,Harvest Year,Variety,Processing Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean Cup,Sweetness,Category One Defects,Color,Category Two Defects,Specialty
Taiwan,500,2021 / 2022,unknown,Washed / Wet,7.5,7.58,7.42,7.42,7.25,7.42,10.0,10.0,10.0,0,green,1,No Specialty
Thailand,800-1200,2022,Catimor,Washed / Wet,7.17,7.5,7.42,7.42,7.58,7.5,10.0,10.0,10.0,0,green,0,No Specialty
Costa Rica,1500,2018 / 2019,Caturra,Washed / Wet,7.42,7.42,7.42,7.33,7.58,7.33,10.0,10.0,10.0,1,green,8,No Specialty
Guatemala,1350-1550,2021 / 2022,,Washed / Wet,7.42,7.42,7.42,7.33,7.5,7.42,10.0,10.0,10.0,0,blue-green,2,No Specialty
Indonesia,1350,2022,,Pulped natural / honey,7.67,7.33,7.25,7.67,7.42,7.25,10.0,10.0,10.0,0,bluish-green,0,No Specialty
Peru,1600,2022 / 2023,Caturra,Washed / Wet,7.5,7.5,7.33,7.5,7.33,7.33,10.0,10.0,10.0,0,greenish,2,No Specialty
Guatemala,1200~1600,2022,Caturra,Washed / Wet,7.33,7.42,7.33,7.42,7.58,7.42,10.0,10.0,10.0,0,greenish,1,No Specialty
Taiwan,300,2021 / 2022,Typica,Pulped natural / honey,7.25,7.42,7.42,7.5,7.42,7.42,10.0,10.0,10.0,0,green,0,No Specialty
Vietnam,5400,2022 / 2023,Catimor,Pulped natural / honey,7.5,7.5,7.25,7.42,7.42,7.42,10.0,10.0,10.0,0,green,4,No Specialty
Brazil,1000,2022,Yellow Catuai,Pulped natural / honey,7.5,7.5,7.42,7.33,7.33,7.33,10.0,10.0,10.0,0,pale yellow,2,No Specialty
Brazil,900-1000,2021,Catucai,Natural / Dry,7.42,7.5,7.58,7.33,7.33,7.25,10.0,10.0,10.0,0,yellow-green,0,No Specialty
Colombia,1574,2021,Santander,Washed / Wet,7.33,7.5,7.33,7.42,7.42,7.42,10.0,10.0,10.0,0,yellow-green,0,No Specialty
Mexico,1200,2021 / 2022,Typica,Washed / Wet,7.58,7.42,7.25,7.25,7.5,7.33,10.0,10.0,10.0,2,green,2,No Specialty
Costa Rica,1200,2022 / 2023,Caturra,Washed / Wet,7.33,7.42,7.25,7.42,7.42,7.33,10.0,10.0,10.0,0,green,4,No Specialty
Taiwan,300,2021 / 2022,Typica,Pulped natural / honey,7.42,7.5,7.33,7.33,7.33,7.33,10.0,10.0,10.0,0,yellow-green,0,No Specialty
Taiwan,435,2021 / 2022,unknown,Pulped natural / honey,7.33,7.5,7.42,7.33,7.33,7.25,10.0,10.0,10.0,0,green,0,No Specialty
Thailand,1300-1500,2022,Java,Washed / Wet,7.33,7.42,7.25,7.33,7.5,7.42,10.0,10.0,10.0,2,green,1,No Specialty
Thailand,1400,2021,Typica Bourbon Caturra Catimor,Natural / Dry,7.42,7.25,7.33,7.42,7.33,7.33,10.0,10.0,10.0,0,yellowish,5,No Specialty
Thailand,600-800,2022,Catimor,Washed / Wet,7.25,7.25,7.42,7.25,7.42,7.42,10.0,10.0,10.0,0,green,0,No Specialty
Colombia,1300-1800,2021 / 2022,"Caturra,Colombia,Castillo",Washed / Wet,7.42,7.25,7.25,7.42,7.17,7.33,10.0,10.0,10.0,0,greenish,2,No Specialty
Brazil,1200,2022 / 2023,,Natural / Dry,7.42,7.42,7.25,7.25,7.17,7.25,10.0,10.0,10.0,0,greenish,1,No Specialty
El Salvador,1400,2023,Bourbon,Natural / Dry,7.42,7.33,7.33,7.5,7.08,7.0,10.0,10.0,10.0,0,bluish-green,7,No Specialty
Nicaragua,1100,2021,Caturra,Washed / Wet,7.25,7.25,7.17,7.33,7.08,7.25,10.0,10.0,10.0,0,greenish,3,No Specialty
Nicaragua,1000,2022 / 2023,Sarchimor,Washed / Wet,7.42,7.17,7.0,7.08,7.42,7.17,10.0,10.0,10.0,0,green,5,No Specialty
Colombia,1600,2022,"Castillo,Caturra,Bourbon",Washed / Wet,7.25,7.25,7.17,7.33,7.0,7.17,10.0,10.0,10.0,0,greenish,3,No Specialty
Peru,1600,2022 / 2023,Caturra,Washed / Wet,7.5,7.25,7.17,7.17,7.17,7.08,10.0,10.0,10.0,0,greenish,11,No Specialty
El Salvador,1300,2023,Pacas,Natural / Dry,7.08,7.25,7.08,7.42,7.42,7.08,10.0,10.0,10.0,0,bluish-green,7,No Specialty
Brazil,1200,2021 / 2022,Catuai and Mundo Novo,Natural / Dry,7.25,7.17,7.17,7.08,7.17,7.17,10.0,10.0,10.0,0,greenish,2,No Specialty
Brazil,950,2022 / 2023,Mundo Novo,Natural / Dry,7.17,7.17,6.92,7.17,7.42,7.17,10.0,10.0,10.0,0,green,4,No Specialty
Nicaragua,1200,2022 / 2023,SHG,Natural / Dry,7.33,7.08,6.75,7.17,7.42,7.17,10.0,10.0,10.0,0,green,12,No Specialty
Laos,1300,2021 / 2022,Catimor,Washed / Wet,7.25,7.17,7.08,7.0,7.08,7.08,10.0,10.0,10.0,0,green,11,No Specialty
El Salvador,1200,2023,Maragogype,Natural / Dry,6.5,6.75,6.75,7.17,7.08,7.0,10.0,10.0,10.0,0,bluish-green,13,No Specialty
Brazil,850-1100,2021 / 2022,Mundo Novo,SEMI-LAVADO,7.25,7.08,6.67,6.83,6.83,6.67,10.0,10.0,10.0,0,green,1,No Specialty
Ethiopia,2075.0,2014,,Washed / Wet,8.67,8.83,8.67,8.75,8.5,8.42,10.0,10.0,10.0,0,Green,0,Specialty
Ethiopia,2075.0,2014,Other,Washed / Wet,8.75,8.67,8.5,8.58,8.42,8.42,10.0,10.0,10.0,0,Green,1,Specialty
Guatemala,1700.0,,Bourbon,,8.42,8.5,8.42,8.42,8.33,8.42,10.0,10.0,10.0,0,,0,Specialty
Ethiopia,2000.0,2014,,Natural / Dry,8.17,8.58,8.42,8.42,8.5,8.25,10.0,10.0,10.0,0,Green,2,Specialty
Ethiopia,2075.0,2014,Other,Washed / Wet,8.25,8.5,8.25,8.5,8.42,8.33,10.0,10.0,10.0,0,Green,2,Specialty
Brazil,,2013,,Natural / Dry,8.58,8.42,8.42,8.5,8.25,8.33,10.0,10.0,10.0,0,Bluish-Green,1,Specialty
Peru,,2012,Other,Washed / Wet,8.42,8.5,8.33,8.5,8.25,8.25,10.0,10.0,10.0,0,Bluish-Green,0,Specialty
Ethiopia,1635.0,March 2010,,,8.25,8.33,8.5,8.42,8.33,8.5,10.0,10.0,9.33,0,,0,Specialty
Ethiopia,1635.0,March 2010,,,8.67,8.67,8.58,8.42,8.33,8.42,9.33,10.0,9.33,0,,0,Specialty
Ethiopia,1822.5,2014,Other,Natural / Dry,8.08,8.58,8.5,8.5,7.67,8.42,10.0,10.0,10.0,0,Green,4,Specialty
Ethiopia,1905.0,2014,,Natural / Dry,8.17,8.67,8.25,8.5,7.75,8.17,10.0,10.0,10.0,0,,1,Specialty
United States,1872.0,2014,Other,Washed / Wet,8.25,8.42,8.17,8.33,8.08,8.17,10.0,10.0,10.0,0,,0,Specialty
United States,1943.0,2014,Other,Washed / Wet,8.08,8.67,8.33,8.42,8.0,8.08,10.0,10.0,10.0,0,,0,Specialty
United States (Hawaii),609.6,Sept 2009 - April 2010,,,8.33,8.42,8.08,8.25,8.25,8.0,10.0,10.0,10.0,0,,2,Specialty
Ethiopia,1635.0,March 2010,,,8.25,8.33,8.5,8.25,8.58,8.75,9.33,10.0,9.33,0,,2,Specialty
United States,2080.0,2014,Other,Washed / Wet,8.0,8.5,8.58,8.17,8.17,8.0,10.0,10.0,10.0,0,,0,Specialty
Indonesia,1500.0,May-August,,,8.33,8.25,7.83,7.75,8.5,8.42,10.0,10.0,10.0,0,,0,Specialty
Ethiopia,,2009/2010,,,8.17,8.33,8.25,8.33,8.42,8.33,9.33,10.0,9.33,0,,2,Specialty
China,1450.0,2015,Catimor,Washed / Wet,8.42,8.25,8.08,8.17,7.92,8.0,10.0,10.0,10.0,0,Green,0,Specialty
Ethiopia,1850.0,2014,Ethiopian Yirgacheffe,Natural / Dry,8.17,8.17,8.0,8.17,8.08,8.33,10.0,10.0,10.0,0,,8,Specialty
United States,2019.0,2014,Other,Washed / Wet,8.0,8.25,8.08,8.5,8.25,8.0,10.0,10.0,10.0,0,,0,Specialty
Costa Rica,1300.0,2014,Caturra,Washed / Wet,8.08,8.25,8.0,8.17,8.0,8.33,10.0,10.0,10.0,0,Green,2,Specialty
Mexico,1320.0,2012,Other,Washed / Wet,8.17,8.25,8.17,8.0,7.83,8.17,10.0,10.0,10.0,0,Green,0,Specialty
United States,2112.0,2014,Other,Washed / Wet,8.25,8.33,8.17,8.17,7.83,8.17,10.0,10.0,10.0,0,,0,Specialty
Ethiopia,,2013,,Natural / Dry,8.42,8.17,7.92,8.17,8.33,8.0,10.0,10.0,10.0,0,Bluish-Green,1,Specialty
Brazil,1250.0,2011,Bourbon,Natural / Dry,8.5,8.5,8.0,8.0,8.0,8.0,10.0,10.0,10.0,0,Green,2,Specialty
Ethiopia,,2009/2010,,,7.83,8.25,8.08,8.17,8.17,8.17,10.0,10.0,10.0,0,,2,Specialty
Uganda,1950.0,2013,SL14,Washed / Wet,8.42,8.17,8.17,8.17,7.83,7.92,10.0,10.0,10.0,0,Green,1,Specialty
Honduras,1400.0,2016,Caturra,,8.17,8.08,8.08,8.0,8.08,8.0,10.0,10.0,10.0,0,Green,3,Specialty
Taiwan,1200.0,2015,Sumatra,Pulped natural / honey,8.0,8.0,8.0,8.25,8.0,8.17,10.0,10.0,10.0,0,Green,0,Specialty
Nicaragua,,,,,7.92,8.25,8.0,8.33,8.0,8.08,10.0,10.0,10.0,0,,2,Specialty
"Tanzania, United Republic Of",,2012,,Natural / Dry,8.42,8.17,8.17,8.0,7.58,8.0,10.0,10.0,10.0,0,Bluish-Green,1,Specialty
Brazil,1300.0,2011,Bourbon,Natural / Dry,8.5,8.17,8.0,7.75,8.0,8.0,10.0,10.0,10.0,0,Green,2,Specialty
Costa Rica,1300.0,2015/2016,Caturra,Washed / Wet,8.17,7.83,8.0,8.08,7.83,8.0,10.0,10.0,10.0,0,Blue-Green,0,Specialty
Ethiopia,1775.0,2014,,Natural / Dry,8.0,8.08,7.92,8.0,8.08,8.08,10.0,10.0,10.0,0,Green,3,Specialty
Kenya,1800.0,2013,SL34,Washed / Wet,8.08,8.0,8.0,8.25,7.92,7.92,10.0,10.0,10.0,0,Blue-Green,1,Specialty
United States (Hawaii),,2012,Hawaiian Kona,Natural / Dry,8.08,8.17,8.0,7.92,7.92,7.83,10.0,10.0,10.0,1,,4,Specialty
United States (Hawaii),,2010,,,8.25,8.42,8.08,7.75,7.67,7.83,10.0,10.0,10.0,2,,1,Specialty
Ethiopia,,2009/2010,,,7.92,7.75,8.08,8.08,8.08,8.17,10.0,10.0,10.0,0,,2,Specialty
United States,1941.0,2014,Other,Washed / Wet,7.67,8.17,8.0,8.0,8.17,8.08,10.0,10.0,10.0,0,,0,Specialty
Thailand,1300.0,2012,Caturra,Washed / Wet,7.83,8.33,7.83,8.25,7.58,7.92,10.0,10.0,10.0,1,Green,9,Specialty
Brazil,12.0,2010,Yellow Bourbon,,8.17,7.92,7.92,7.75,8.33,8.0,10.0,10.0,10.0,0,,2,Specialty
Brazil,12.0,2010,Yellow Bourbon,,8.42,7.92,8.0,7.75,7.92,8.0,10.0,10.0,10.0,0,,3,Specialty
Taiwan,1000.0,2015,Bourbon,Semi-washed / Semi-pulped,8.08,8.17,7.75,8.08,7.75,7.83,10.0,10.0,10.0,0,Green,0,Specialty
Kenya,1754.0,2014,SL28,Natural / Dry,8.08,8.08,8.0,8.0,7.83,8.08,10.0,10.0,10.0,0,Bluish-Green,2,Specialty
Brazil,1250.0,2011,Bourbon,Semi-washed / Semi-pulped,8.33,8.0,8.0,8.0,7.75,8.0,10.0,10.0,10.0,0,Blue-Green,2,Specialty
Uganda,,2014,,Semi-washed / Semi-pulped,8.08,8.08,7.83,7.92,8.08,7.92,10.0,10.0,10.0,0,,0,Specialty
Colombia,1200.0,2013,Caturra,Washed / Wet,7.75,7.92,7.83,8.08,8.08,8.17,10.0,10.0,10.0,1,Green,1,Specialty
Kenya,1860.0,2013,SL28,Washed / Wet,7.92,8.17,7.83,8.5,7.5,7.92,10.0,10.0,10.0,0,Green,1,Specialty
Uganda,1650.0,2012,Other,Washed / Wet,8.25,8.0,7.83,8.08,8.0,7.92,10.0,10.0,10.0,0,Blue-Green,0,Specialty
Ethiopia,1750.0,2009/2010,,,7.75,8.08,8.0,8.25,8.0,8.0,10.0,10.0,10.0,0,,4,Specialty
United States (Hawaii),426.72,Fall 2009,,,8.33,8.17,7.75,8.0,7.75,7.83,10.0,10.0,10.0,0,,0,Specialty
Guatemala,,2016,Bourbon,Washed / Wet,7.92,8.08,7.92,8.08,8.08,7.83,10.0,10.0,10.0,0,Green,3,Specialty
Uganda,1650.0,2013,SL14,Natural / Dry,8.17,8.17,7.92,8.08,7.83,7.75,10.0,10.0,10.0,0,Green,0,Specialty
Colombia,1800.0,2013,Caturra,Washed / Wet,8.0,8.0,8.0,8.17,7.83,8.0,10.0,10.0,10.0,1,Blue-Green,0,Specialty
Panama,1600.0,2017,Gesha,Washed / Wet,8.0,8.0,7.92,8.08,7.83,8.0,10.0,10.0,10.0,0,Bluish-Green,0,Specialty
Ethiopia,1900.0,2014,,Washed / Wet,7.83,8.08,7.92,8.08,8.0,7.92,10.0,10.0,10.0,0,Green,4,Specialty
Guatemala,1524.0,2012,Bourbon,Washed / Wet,7.83,8.0,8.0,8.17,7.83,8.0,10.0,10.0,10.0,0,Green,3,Specialty
Guatemala,1417.32,2012,Catuai,Washed / Wet,8.0,8.0,7.83,8.33,7.83,7.83,10.0,10.0,10.0,0,Bluish-Green,1,Specialty
Ethiopia,,2017,Caturra,Natural / Dry,7.83,8.0,7.83,8.17,7.92,8.0,10.0,10.0,10.0,0,,7,Specialty
Peru,,2013,,Washed / Wet,8.0,8.0,8.0,8.08,7.92,7.75,10.0,10.0,10.0,4,Green,6,Specialty
Papua New Guinea,1700.0,2012,,Washed / Wet,8.33,8.42,7.83,8.33,8.0,8.25,9.33,9.33,10.0,0,Bluish-Green,1,Specialty
El Salvador,1500.0,2013,Bourbon,Washed / Wet,7.92,8.17,8.0,7.92,7.75,7.83,10.0,10.0,10.0,0,Blue-Green,3,Specialty
El Salvador,1350.0,2012,Bourbon,Semi-washed / Semi-pulped,7.83,8.0,8.0,7.75,7.92,8.17,10.0,10.0,10.0,0,,0,Specialty
United States (Hawaii),,2012,Hawaiian Kona,Natural / Dry,7.83,8.0,7.92,7.75,8.08,8.0,10.0,10.0,10.0,0,,1,Specialty
Panama,1680.0,2014,Caturra,Natural / Dry,8.0,7.75,7.83,7.83,7.67,8.58,10.0,10.0,10.0,2,,2,Specialty
Kenya,1900.0,2014,SL28,Natural / Dry,7.92,7.92,7.83,8.08,7.83,7.92,10.0,10.0,10.0,0,Green,3,Specialty
Ethiopia,1900.0,2015,Other,Natural / Dry,7.83,8.0,7.83,7.92,7.83,8.08,10.0,10.0,10.0,0,Green,7,Specialty
Uganda,1600.0,2013,SL14,Washed / Wet,8.33,7.92,7.67,7.92,7.67,7.92,10.0,10.0,10.0,0,Green,1,Specialty
Guatemala,1731.264,2013,Bourbon,Washed / Wet,8.0,7.83,7.67,8.33,7.83,8.0,10.0,10.0,10.0,0,Green,1,Specialty
Ethiopia,1900.0,2015,,Washed / Wet,7.75,7.83,7.83,8.17,7.92,7.83,10.0,10.0,10.0,0,Green,18,Specialty
Uganda,1950.0,2013,SL14,Washed / Wet,8.08,8.0,7.83,7.67,8.0,7.83,10.0,10.0,10.0,0,Green,5,Specialty
United States (Hawaii),,2012,Hawaiian Kona,Natural / Dry,7.92,7.92,7.75,7.92,7.75,7.92,10.0,10.0,10.0,4,,6,Specialty
Brazil,1250.0,2011,Bourbon,Semi-washed / Semi-pulped,8.0,8.0,8.0,7.67,7.75,8.0,10.0,10.0,10.0,0,Blue-Green,1,Specialty
El Salvador,1400.0,2009 / 2010,,,8.08,7.83,7.83,8.08,7.83,7.83,10.0,10.0,10.0,0,,0,Specialty
China,1700.0,2015,Catimor,Natural / Dry,8.0,8.0,8.0,7.83,7.83,7.75,10.0,10.0,10.0,0,Green,0,Specialty
Guatemala,1770.0,2014,Pacamara,Natural / Dry,7.83,7.75,7.83,7.67,7.83,8.58,10.0,10.0,10.0,0,Green,1,Specialty
Costa Rica,1300.0,2014,Caturra,Washed / Wet,7.92,8.08,8.0,7.92,8.0,8.08,10.0,10.0,9.33,0,Bluish-Green,0,Specialty
Costa Rica,1300.0,2014,Caturra,Washed / Wet,8.0,7.58,7.58,7.67,8.08,8.5,10.0,10.0,10.0,0,Bluish-Green,2,Specialty
Kenya,1600.0,2012,SL34,Washed / Wet,7.83,8.08,7.75,8.08,7.92,7.75,10.0,10.0,10.0,0,Green,2,Specialty
Kenya,1200.0,2012,SL34,Washed / Wet,8.0,7.92,7.92,8.08,7.83,7.75,10.0,10.0,10.0,0,Green,6,Specialty
Ethiopia,,2009/2010,,,7.83,7.83,7.92,8.08,7.75,7.83,10.0,10.0,10.0,0,,2,Specialty
Ethiopia,,2009/2010,Typica,,7.92,7.83,7.75,8.33,7.75,7.75,10.0,10.0,10.0,0,,3,Specialty
Guatemala,,2016,Bourbon,,8.0,7.92,7.75,8.0,7.92,7.83,10.0,10.0,10.0,0,Green,2,Specialty
Colombia,1550.0,2015,Caturra,Washed / Wet,8.17,7.92,7.83,8.0,7.58,7.83,10.0,10.0,10.0,0,Green,0,Specialty
Colombia,1550.0,2014,Caturra,Natural / Dry,7.58,8.08,7.92,7.83,8.0,7.92,10.0,10.0,10.0,0,Green,2,Specialty
Indonesia,1325.0,2012,Sumatra Lintong,Semi-washed / Semi-pulped,7.75,7.83,7.67,8.0,8.08,7.83,10.0,10.0,10.0,0,Green,3,Specialty
Guatemala,1400.0,2012,Caturra,Washed / Wet,8.25,8.0,7.67,7.92,7.75,7.67,10.0,10.0,10.0,0,,7,Specialty
Ethiopia,,2016,Other,Natural / Dry,7.75,8.0,7.58,8.0,8.0,7.92,10.0,10.0,10.0,0,Green,8,Specialty
Colombia,2560.0,2015,Caturra,Natural / Dry,8.17,7.83,7.58,8.08,8.0,7.75,10.0,10.0,10.0,0,,0,Specialty
Ethiopia,1700.0,2014,,Natural / Dry,8.42,8.0,7.42,8.0,7.92,7.92,9.33,10.0,10.0,2,Green,7,Specialty
United States (Hawaii),,2014,Hawaiian Kona,Natural / Dry,7.58,7.83,7.83,7.92,7.83,8.17,10.0,10.0,10.0,2,Bluish-Green,2,Specialty
Colombia,2136.0,2012,Caturra,Natural / Dry,7.83,8.0,7.75,7.75,7.83,7.83,10.0,10.0,10.0,0,Green,8,Specialty
United States (Hawaii),,2010-2011,,,8.08,8.17,7.92,8.0,8.08,8.0,9.33,9.33,10.0,1,,7,Specialty
Ethiopia,,2010,,,7.67,8.0,7.83,8.0,7.92,7.83,10.0,10.0,10.0,0,,5,Specialty
United States (Hawaii),,,,,7.5,7.92,8.25,7.83,7.92,7.75,10.0,10.0,10.0,0,,0,Specialty
Uganda,1800.0,2016,SL14,Washed / Wet,8.17,7.92,7.75,7.75,7.67,7.75,10.0,10.0,10.0,0,Green,1,Specialty
Colombia,,2016,Caturra,Washed / Wet,8.0,7.92,7.75,7.92,7.75,7.83,10.0,10.0,10.0,0,Green,3,Specialty
Costa Rica,1900.0,2016,Catuai,Washed / Wet,7.83,8.0,7.58,7.92,7.92,7.83,10.0,10.0,10.0,1,Green,1,Specialty
Mexico,1300.0,2015,Typica,Washed / Wet,7.83,8.0,7.83,7.75,7.67,7.83,10.0,10.0,10.0,0,Green,3,Specialty
Kenya,1.0,2015,,Washed / Wet,8.17,7.83,7.92,7.75,7.67,7.83,10.0,10.0,10.0,0,Green,7,Specialty
Kenya,1580.0,2012,SL34,Washed / Wet,7.75,7.83,7.75,8.08,8.0,7.75,10.0,10.0,10.0,0,Green,5,Specialty
Brazil,1100.0,2012,Mundo Novo,Natural / Dry,8.0,8.0,7.83,7.83,7.67,7.67,10.0,10.0,10.0,0,Green,3,Specialty
Mexico,1400.0,2010-2011,Pacamara,,7.92,8.17,7.75,8.08,7.42,7.83,10.0,10.0,10.0,0,,0,Specialty
United States (Hawaii),,,,,7.75,7.92,7.75,7.75,8.0,8.0,10.0,10.0,10.0,0,,1,Specialty
Guatemala,1325.88,2009/2010,,,7.83,8.08,7.67,8.0,7.75,7.67,10.0,10.0,10.0,0,,1,Specialty
Colombia,,2016,Caturra,Washed / Wet,7.92,7.92,7.67,7.83,7.92,7.83,10.0,10.0,10.0,1,,2,Specialty
Colombia,1775.0,2015,Caturra,Washed / Wet,7.92,7.83,7.75,7.83,7.75,8.0,10.0,10.0,10.0,0,Green,1,Specialty
Taiwan,800.0,2015,Typica,Semi-washed / Semi-pulped,7.67,7.83,8.0,7.58,8.0,7.92,10.0,10.0,10.0,0,Green,0,Specialty
"Tanzania, United Republic Of",1620.0,2014,Other,Washed / Wet,8.0,7.83,7.83,7.92,7.75,7.75,10.0,10.0,10.0,0,Green,2,Specialty
Colombia,1775.0,2012,Caturra,Washed / Wet,7.75,7.92,7.83,7.75,7.75,8.0,10.0,10.0,10.0,0,Green,3,Specialty
Mexico,1200.0,2012,Typica,Semi-washed / Semi-pulped,7.75,8.0,7.75,7.83,7.5,7.92,10.0,10.0,10.0,0,,0,Specialty
Brazil,1200.0,2011,Bourbon,Natural / Dry,8.0,7.92,7.75,7.75,8.0,7.75,10.0,10.0,10.0,0,Green,2,Specialty
Brazil,1000.0,2011,Catuai,Natural / Dry,8.0,8.0,7.75,8.0,7.5,7.75,10.0,10.0,10.0,0,Green,2,Specialty
Kenya,,2009-2010,,,8.0,7.67,7.83,8.17,7.92,7.75,10.0,10.0,10.0,1,,9,Specialty
Taiwan,350.0,2016,Typica,Natural / Dry,7.92,7.58,7.83,7.83,7.83,7.83,10.0,10.0,10.0,0,Green,0,Specialty
Uganda,1650.0,2013,SL14,Natural / Dry,7.75,7.92,7.67,7.67,8.25,7.75,10.0,10.0,10.0,0,Green,1,Specialty
United States (Hawaii),,2012,Hawaiian Kona,Natural / Dry,7.67,7.75,7.75,7.75,7.83,8.0,10.0,10.0,10.0,3,,15,Specialty
Ethiopia,1750.0,2009/2010,,,7.75,7.92,7.83,7.92,7.75,7.67,10.0,10.0,10.0,0,,2,Specialty
Ethiopia,1750.0,2009/2010,,,7.42,7.92,7.92,8.0,7.83,7.83,10.0,10.0,10.0,0,,4,Specialty
Thailand,,2015,Caturra,Pulped natural / honey,7.75,7.75,7.75,7.75,8.0,7.75,10.0,10.0,10.0,0,Green,0,Specialty
Kenya,1800.0,2014,SL34,Washed / Wet,7.92,7.83,7.58,7.92,7.75,7.83,10.0,10.0,10.0,0,Green,0,Specialty
Honduras,1450.0,2014,Catuai,Washed / Wet,7.83,7.75,8.0,7.67,7.67,7.67,10.0,10.0,10.0,0,Green,4,Specialty
El Salvador,1200.0,2010-2011,,,7.75,8.0,8.0,8.33,7.67,7.92,10.0,10.0,9.33,0,,3,Specialty
Nicaragua,925.0,2009 - 2010,,,7.83,7.58,7.58,7.83,7.75,7.67,10.0,10.0,10.0,0,,2,Specialty
El Salvador,1350.0,2016,Bourbon,Washed / Wet,7.83,7.83,7.5,8.0,7.83,7.67,10.0,10.0,10.0,0,Blue-Green,2,Specialty
Indonesia,1200.0,2016,Java,Washed / Wet,7.92,7.83,7.75,7.75,7.75,7.75,10.0,10.0,10.0,0,Green,7,Specialty
Japan,170.0,,Mundo Novo,Pulped natural / honey,7.75,7.75,7.75,7.42,8.08,7.83,10.0,10.0,10.0,0,Green,0,Specialty
Costa Rica,1150.0,2015,Catuai,Washed / Wet,8.08,7.75,7.67,7.83,7.5,7.92,10.0,10.0,10.0,0,Blue-Green,2,Specialty
Guatemala,1600.0,2015,Bourbon,Washed / Wet,7.75,7.83,7.58,8.0,7.92,7.75,10.0,10.0,10.0,0,Green,1,Specialty
Costa Rica,1750.0,2014,Caturra,Washed / Wet,8.17,8.0,7.83,7.17,7.83,7.75,10.0,10.0,10.0,0,Green,0,Specialty
Ethiopia,1900.0,2014,Ethiopian Yirgacheffe,Washed / Wet,8.08,7.83,7.75,7.83,7.58,7.67,10.0,10.0,10.0,0,,3,Specialty
Costa Rica,1750.0,2014,Other,Other,7.67,7.58,7.75,7.75,7.67,8.58,10.0,10.0,10.0,0,Green,1,Specialty
Costa Rica,1200.0,2014,Catuai,Washed / Wet,8.0,7.58,7.83,7.75,7.75,7.75,10.0,10.0,10.0,0,Green,4,Specialty
Costa Rica,,2012,,Washed / Wet,8.08,7.83,7.75,7.83,7.92,8.0,10.0,10.0,9.33,1,Green,10,Specialty
Taiwan,1000.0,2013/2014,Typica,Washed / Wet,8.0,7.92,7.75,7.75,7.75,7.75,10.0,10.0,10.0,0,Green,0,Specialty
Colombia,1550.0,2013,Caturra,Washed / Wet,7.75,7.83,7.75,7.83,7.75,7.83,10.0,10.0,10.0,0,Green,0,Specialty
Kenya,2000.0,2012,SL28,Washed / Wet,7.75,7.92,7.83,8.0,7.58,7.75,10.0,10.0,10.0,0,Bluish-Green,0,Specialty
Guatemala,1310.64,2012,Bourbon,Washed / Wet,8.0,7.83,7.67,7.83,7.67,8.0,10.0,10.0,10.0,0,Green,4,Specialty
Guatemala,1524.0,2012,Bourbon,Washed / Wet,7.67,7.83,7.67,8.0,7.67,7.83,10.0,10.0,10.0,0,Green,4,Specialty
Mexico,1200.0,2012,Typica,Washed / Wet,7.83,7.58,7.67,7.92,7.92,7.83,10.0,10.0,10.0,0,,3,Specialty
Uganda,1775.0,2012,Other,Washed / Wet,7.92,7.83,7.75,7.92,7.67,7.75,10.0,10.0,10.0,0,Blue-Green,3,Specialty
Peru,,,,,7.67,7.83,7.75,7.75,7.92,7.83,10.0,10.0,10.0,0,,3,Specialty
Ethiopia,1750.0,2009/2010,,,7.42,7.75,7.75,8.0,8.0,7.92,10.0,10.0,10.0,0,,3,Specialty
Kenya,1754.0,,SL34,Washed / Wet,7.92,7.75,7.83,7.75,7.58,7.92,10.0,10.0,10.0,0,Blue-Green,5,Specialty
Colombia,1500.0,2016,Other,Washed / Wet,7.83,7.67,7.58,7.92,7.67,7.83,10.0,10.0,10.0,0,Blue-Green,4,Specialty
Colombia,,2016,Caturra,Washed / Wet,7.92,7.83,7.58,8.0,7.83,7.67,10.0,10.0,10.0,0,Green,5,Specialty
Kenya,1800.0,2013,Peaberry,Washed / Wet,7.83,7.83,7.83,7.75,7.58,7.83,10.0,10.0,10.0,0,Bluish-Green,2,Specialty
Guatemala,1524.0,2014,Pacas,Washed / Wet,7.75,7.83,7.67,7.92,7.75,7.83,10.0,10.0,10.0,0,Green,1,Specialty
Guatemala,1219.2,2014,Bourbon,Washed / Wet,8.0,7.92,7.67,7.58,7.58,7.67,10.0,10.0,10.0,0,Green,0,Specialty
Colombia,1550.0,2013,Caturra,Washed / Wet,7.67,7.67,7.58,7.75,7.58,8.5,10.0,10.0,10.0,0,,0,Specialty
Colombia,1750.0,2013,Caturra,Washed / Wet,7.75,7.75,7.83,7.75,7.58,8.0,10.0,10.0,10.0,0,,5,Specialty
Kenya,,2013,SL28,Washed / Wet,7.75,7.75,7.75,8.08,7.75,7.75,10.0,10.0,10.0,0,Green,0,Specialty
Colombia,1750.0,2012,Caturra,Washed / Wet,7.67,7.83,7.83,8.0,7.58,7.92,10.0,10.0,10.0,0,Green,2,Specialty
Costa Rica,1575.0,2012,Bourbon,Semi-washed / Semi-pulped,7.75,7.83,7.75,8.0,7.83,7.67,10.0,10.0,10.0,0,Bluish-Green,2,Specialty
